ID,Book Title,Author,Lenght,Price
0,THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,BY MARK MANSON,5 hr 18 min,$21.99
1,I'M GLAD MY MOM DIED,BY JENNETTE MCCURDY,6 hr 26 min,$17.99
2,FOURTH WING,BY REBECCA YARROS,20 hr 43 min,$29.99
3,HOUSE OF EARTH AND BLOOD (1 OF 2) [DRAMATIZED ADAPTATION]: CRESCENT CITY 1,BY SARAH J. MAAS,10 hr 0 min,Coming soon
4,"GOOD VIBES, GOOD LIFE: HOW SELF-LOVE IS THE KEY TO UNLOCKING YOUR GREATNESS",BY VEX KING,4 hr 40 min,$25.99
5,LESSONS IN CHEMISTRY: A NOVEL,BY BONNIE GARMUS,11 hr 55 min,$22.50
6,BECOMING,BY MICHELLE OBAMA,19 hr 4 min,$25.00
7,IT ENDS WITH US,BY COLLEEN HOOVER,11 hr 18 min,$17.99
8,GREENLIGHTS,BY MATTHEW MCCONAUGHEY,6 hr 42 min,$20.00
9,RICH DAD POOR DAD: WHAT THE RICH TEACH THEIR KIDS ABOUT MONEY - THAT THE POOR AND MIDDLE CLASS DO NOT!,BY ROBERT T. KIYOSAKI,6 hr 10 min,$35.99
10,IRON FLAME,BY REBECCA YARROS,28 hr 17 min,$34.99
11,TWISTED LOVE,BY ANA HUANG,10 hr 41 min,$24.99
12,YELLOWFACE: A NOVEL,BY R. F. KUANG,8 hr 39 min,$27.99
13,THE WOMAN IN ME,BY BRITNEY SPEARS,5 hr 31 min,$24.99
14,NONE OF THIS IS TRUE: A NOVEL,BY LISA JEWELL,10 hr 20 min,$24.99
15,THE ALCHEMIST,BY PAULO COELHO,4 hr 1 min,$20.99
16,"8 RULES OF LOVE: HOW TO FIND IT, KEEP IT, AND LET IT GO",BY JAY SHETTY,10 hr 21 min,$24.99
17,A COURT OF THORNS AND ROSES,BY SARAH J. MAAS,16 hr 11 min,$29.99
18,FOURTH WING (2 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 1,BY REBECCA YARROS,9 hr 22 min,Coming soon
19,THE CUTTING SEASON: A NOVEL,BY ATTICA LOCKE,12 hr 12 min,$27.99
20,THE SEVEN HUSBANDS OF EVELYN HUGO: A NOVEL,BY TAYLOR JENKINS REID,12 hr 10 min,$23.99
21,SOUNDTRACKS: THE SURPRISING SOLUTION TO OVERTHINKING,BY JON ACUFF,5 hr 14 min,$15.99
22,"PLEASE UNSUBSCRIBE, THANKS!: HOW TO TAKE BACK OUR TIME, ATTENTION, AND PURPOSE IN A WORLD DESIGNED TO BURY US IN BULLSHIT",BY JULIO VINCENT GAMBUTO,10 hr 15 min,$23.99
23,"THEN SHE WAS GONE: THE ADDICTIVE, PSYCHOLOGICAL THRILLER FROM THE SUNDAY TIMES BESTSELLING AUTHOR OF THE FAMILY UPSTAIRS",BY LISA JEWELL,10 hr 13 min,Coming soon
24,WHERE THE CRAWDADS SING,BY DELIA OWENS,12 hr 13 min,$22.50
25,[ROMANIAN] - ATOMIC HABITS [UNABRIDGED AUDIOBOOK],BY JAMES CLEAR,8 hr 24 min,$13.00
26,"[SPANISH] - PADRE RICO, PADRE POBRE (ED. 25 ANIV)",BY ROBERT T. KIYOSAKI,6 hr 24 min,$22.99
27,A COURT OF THORNS AND ROSES (1 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 1,BY SARAH J. MAAS,6 hr 4 min,$19.99
28,PLAN AND ORGANIZE YOUR LIFE: ACHIEVE YOUR GOALS BY CREATING INTENTIONAL HABITS AND ROUTINES FOR SUCCESS,BY BEATRICE NAUJALYTE,5 hr 44 min,$15.99
29,"GIRL, WASH YOUR FACE: STOP BELIEVING THE LIES ABOUT WHO YOU ARE SO YOU CAN BECOME WHO YOU WERE MEANT TO BE",BY RACHEL HOLLIS,7 hr 4 min,$26.99
30,THE POWER OF NOW: A GUIDE TO SPIRITUAL ENLIGHTENMENT,BY ECKHART TOLLE,7 hr 38 min,$27.95
31,HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,BY DALE CARNEGIE,7 hr 18 min,$23.95
32,SEX AND VANITY: FROM THE BESTSELLING AUTHOR OF CRAZY RICH ASIANS,BY KEVIN KWAN,9 hr 36 min,Coming soon
33,ICEBREAKER: A NOVEL,BY HANNAH GRACE,13 hr 23 min,$24.99
34,[SPANISH] - EL PODER DE ESTAR SOLO: UNA DOSIS DE MOTIVACIÓN ACOMPAÑADA DE IDEAS REVOLUCIONARIAS PARA UNA VIDA MEJOR,BY BRIAN ALBA,1 hr 59 min,$12.99
35,THE TEACHER,BY FREIDA MCFADDEN,9 hr 35 min,Coming soon
36,RED SKY MOURNING: A THRILLER,BY JACK CARR,15 hr 30 min,Coming soon
37,LOCAL WOMAN MISSING,BY MARY KUBICA,11 hr 40 min,$27.99
38,THE COVENANT OF WATER,BY ABRAHAM VERGHESE,31 hr 16 min,$34.99
39,SPARE,"BY PRINCE HARRY, THE DUKE OF SUSSEX",15 hr 39 min,$36.00
40,FUNNY STORY,BY EMILY HENRY,11 hr 0 min,Coming soon
41,YOU LIKE IT DARKER: STORIES,BY STEPHEN KING,20 hr 0 min,Coming soon
42,ALL THE LIGHT WE CANNOT SEE: A NOVEL,BY ANTHONY DOERR,16 hr 2 min,$23.99
43,IT STARTS WITH US: A NOVEL,BY COLLEEN HOOVER,8 hr 51 min,$24.99
44,I AM MORE THAN MY BODY: THE BODY NEUTRAL JOURNEY,BY BETHANY C. MEYERS,4 hr 22 min,$15.00
45,ATOMIC HABITS: AN EASY & PROVEN WAY TO BUILD GOOD HABITS & BREAK BAD ONES,BY JAMES CLEAR,5 hr 35 min,$20.00
46,A PROMISED LAND,BY BARACK OBAMA,29 hr 10 min,$40.00
47,YOUNGER FOR LIFE: FEEL GREAT AND LOOK YOUR BEST WITH THE NEW SCIENCE OF AUTOJUVENATION,BY ANTHONY YOUN,8 hr 6 min,$27.99
48,THE SECRET,BY RHONDA BYRNE,4 hr 26 min,$17.95
49,A COURT OF MIST AND FURY,BY SARAH J. MAAS,23 hr 17 min,$29.99
50,IT,BY STEPHEN KING,45 hr 54 min,$39.99
51,ATOMIC HABITS: THE LIFE-CHANGING MILLION-COPY #1 BESTSELLER,BY JAMES CLEAR,5 hr 35 min,Coming soon
52,IKIGAI: THE JAPANESE SECRET TO A LONG AND HAPPY LIFE,BY FRANCESC MIRALLES,3 hr 15 min,$22.98
53,TOM LAKE: A NOVEL,BY ANN PATCHETT,11 hr 22 min,$26.99
54,THANK YOU FOR LISTENING: A NOVEL,BY JULIA WHELAN,11 hr 15 min,$27.99
55,RED RISING,BY PIERCE BROWN,16 hr 13 min,$29.99
56,A CROWN THIS COLD AND HEAVY,BY STACIA STARK,13 hr 50 min,Coming soon
57,EDUCATED: A MEMOIR,BY TARA WESTOVER,12 hr 11 min,$22.50
58,[SPANISH] - LA ANSIEDAD NO ES UN MOSQUITO QUE PASA Y ME PICA,BY MARIA TERESA LLOBET TURALLAS,0 hr 38 min,$7.99
59,A COURT OF SILVER FLAMES,BY SARAH J. MAAS,26 hr 7 min,$34.99
60,THE WOMAN IN ME,BY BRITNEY SPEARS,5 hr 31 min,$19.99
61,[SPANISH] - COMO SER UN IMÁN PARA LAS PERSONAS,BY MARC REKLAU,3 hr 0 min,$10.99
62,UGLY LOVE,BY COLLEEN HOOVER,9 hr 14 min,$17.99
63,"ASK AGAIN, YES: A NOVEL",BY MARY BETH KEANE,12 hr 44 min,$23.99
64,[SPANISH] - EL HOMBRE EN BUSCA DE SENTIDO,BY VIKTOR E. FRANKL,3 hr 7 min,$11.99
65,[SPANISH] - EL PODER DEL AHORA,BY ECKHART TOLLE,6 hr 49 min,$14.50
66,THE SUMMER I TURNED PRETTY,BY JENNY HAN,6 hr 0 min,$15.99
67,"TUESDAYS WITH MORRIE: AN OLD MAN, A YOUNG MAN, AND LIFE'S GREATEST LESSON",BY MITCH ALBOM,3 hr 51 min,$9.95
68,"THE BODY KEEPS THE SCORE: BRAIN, MIND, AND BODY IN THE HEALING OF TRAUMA",BY BESSEL VAN DER KOLK,16 hr 15 min,$25.00
69,[SPANISH] - LA MUJER QUE SOY,BY BRITNEY SPEARS,6 hr 33 min,$24.99
70,[SPANISH] - ALAS DE SANGRE (THE FOURTH WING),BY REBECCA YARROS,21 hr 7 min,$29.99
71,THE COWORKER,BY FREIDA MCFADDEN,8 hr 12 min,$24.99
72,REMARKABLY BRIGHT CREATURES: A NOVEL,BY SHELBY VAN PELT,11 hr 16 min,$27.99
73,THE 7 HABITS OF HIGHLY EFFECTIVE PEOPLE: 30TH ANNIVERSARY EDITION,BY STEPHEN R. COVEY,15 hr 7 min,$29.99
74,FOURTH WING (1 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 1,BY REBECCA YARROS,7 hr 52 min,$19.99
75,DEMON COPPERHEAD: A NOVEL,BY BARBARA KINGSOLVER,21 hr 3 min,$44.99
76,MANAGING TIME,BY HARVARD BUSINESS REVIEW,0 hr 57 min,$7.99
77,"THE HAPPINESS PROJECT: OR, WHY I SPENT A YEAR TRYING TO SING IN THE MORNING, CLEAN MY CLOSETS, FIGHT RIGHT, READ ARISTOTLE, AND GENERALLY HAVE MORE FUN",BY GRETCHEN RUBIN,9 hr 53 min,$27.99
78,A COURT OF MIST AND FURY (1 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 2,BY SARAH J. MAAS,8 hr 26 min,$19.99
79,"8 RULES OF LOVE: HOW TO FIND IT, KEEP IT, AND LET IT GO",BY JAY SHETTY,10 hr 10 min,Coming soon
80,HOLLY,BY STEPHEN KING,15 hr 37 min,$29.99
81,"EXTREME PRODUCTIVITY: BOOST YOUR RESULTS, REDUCE YOUR HOURS",BY ROBERT C. POZEN,7 hr 38 min,$24.99
82,LITTLE FIRES EVERYWHERE,BY CELESTE NG,11 hr 28 min,$20.00
83,OUTLANDER,BY DIANA GABALDON,32 hr 43 min,$34.99
84,LITTLE SISTER,BY PATRICIA MACDONALD,9 hr 2 min,$24.99
85,FIRST LIE WINS: A NOVEL,BY ASHLEY ELSTON,9 hr 16 min,$22.50
86,THE GIRL ON THE TRAIN: A NOVEL,BY PAULA HAWKINS,10 hr 58 min,$20.00
87,THE LAST THING HE TOLD ME: A NOVEL,BY LAURA DAVE,8 hr 49 min,$23.99
88,HAPPY PLACE,BY EMILY HENRY,11 hr 3 min,$22.50
89,UNTAMED,BY GLENNON DOYLE,8 hr 22 min,$22.50
