ID,Book Title,Author,Lenght,Price
0,THE SUBTLE ART OF NOT GIVING A F*CK: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,BY MARK MANSON,5 hr 18 min,$21.99
1,I'M GLAD MY MOM DIED,BY JENNETTE MCCURDY,6 hr 26 min,$17.99
2,FOURTH WING,BY REBECCA YARROS,20 hr 43 min,$29.99
3,HOUSE OF EARTH AND BLOOD (1 OF 2) [DRAMATIZED ADAPTATION]: CRESCENT CITY 1,BY SARAH J. MAAS,10 hr 0 min,Coming soon
4,"GOOD VIBES, GOOD LIFE: HOW SELF-LOVE IS THE KEY TO UNLOCKING YOUR GREATNESS",BY VEX KING,4 hr 40 min,$25.99
5,LESSONS IN CHEMISTRY: A NOVEL,BY BONNIE GARMUS,11 hr 55 min,$22.50
6,BECOMING,BY MICHELLE OBAMA,19 hr 4 min,$25.00
7,IT ENDS WITH US,BY COLLEEN HOOVER,11 hr 18 min,$17.99
8,GREENLIGHTS,BY MATTHEW MCCONAUGHEY,6 hr 42 min,$20.00
9,RICH DAD POOR DAD: WHAT THE RICH TEACH THEIR KIDS ABOUT MONEY - THAT THE POOR AND MIDDLE CLASS DO NOT!,BY ROBERT T. KIYOSAKI,6 hr 10 min,$35.99
10,IRON FLAME,BY REBECCA YARROS,28 hr 17 min,$34.99
11,TWISTED LOVE,BY ANA HUANG,10 hr 41 min,$24.99
12,YELLOWFACE: A NOVEL,BY R. F. KUANG,8 hr 39 min,$27.99
13,THE WOMAN IN ME,BY BRITNEY SPEARS,5 hr 31 min,$24.99
14,NONE OF THIS IS TRUE: A NOVEL,BY LISA JEWELL,10 hr 20 min,$24.99
15,THE ALCHEMIST,BY PAULO COELHO,4 hr 1 min,$20.99
16,"8 RULES OF LOVE: HOW TO FIND IT, KEEP IT, AND LET IT GO",BY JAY SHETTY,10 hr 21 min,$24.99
17,A COURT OF THORNS AND ROSES,BY SARAH J. MAAS,16 hr 11 min,$29.99
18,FOURTH WING (2 OF 2) [DRAMATIZED ADAPTATION]: THE EMPYREAN 1,BY REBECCA YARROS,9 hr 22 min,Coming soon
19,THE CUTTING SEASON: A NOVEL,BY ATTICA LOCKE,12 hr 12 min,$27.99
